i400sN1_1#022,,,,,
,,,,,
Time (s),Potential (V),,,,
0,0.142625,,mean-,,0.149208
0.5,0.141458,,max-,,0.160375
1,0.140458,,min-,,0.140458
1.5,0.1405,,size of bar-,,0.0099585
2,0.140792,,,,
2.5,0.141708,,,,
3,0.141667,,,,
3.5,0.141083,,,,
4,0.140792,,,,
4.5,0.14125,,,,
5,0.142333,,,,
5.5,0.142542,,,,
6,0.143042,,,,
6.5,0.142875,,,,
7,0.143292,,,,
7.5,0.14275,,,,
8,0.14275,,,,
8.5,0.143125,,,,
9,0.144583,,,,
9.5,0.144292,,,,
10,0.144125,,,,
10.5,0.143792,,,,
11,0.143917,,,,
11.5,0.143458,,,,
12,0.143417,,,,
12.5,0.142833,,,,
13,0.143,,,,
13.5,0.144292,,,,
14,0.146,,,,
14.5,0.145792,,,,
15,0.144875,,,,
15.5,0.14375,,,,
16,0.143917,,,,
16.5,0.143708,,,,
17,0.144292,,,,
17.5,0.145583,,,,
18,0.145792,,,,
18.5,0.145583,,,,
19,0.145083,,,,
19.5,0.144958,,,,
20,0.146,,,,
20.5,0.1465,,,,
21,0.146625,,,,
21.5,0.146417,,,,
22,0.147,,,,
22.5,0.148292,,,,
23,0.148167,,,,
23.5,0.146708,,,,
24,0.144958,,,,
24.5,0.145667,,,,
25,0.147292,,,,
25.5,0.148833,,,,
26,0.14775,,,,
26.5,0.148208,,,,
27,0.148708,,,,
27.5,0.149625,,,,
28,0.149417,,,,
28.5,0.149417,,,,
29,0.149125,,,,
29.5,0.148292,,,,
30,0.147375,,,,
30.5,0.148333,,,,
31,0.148625,,,,
31.5,0.1495,,,,
32,0.149208,,,,
32.5,0.150333,,,,
33,0.150208,,,,
33.5,0.151125,,,,
34,0.150958,,,,
34.5,0.150875,,,,
35,0.150375,,,,
35.5,0.149875,,,,
36,0.150542,,,,
36.5,0.15,,,,
37,0.150208,,,,
37.5,0.149917,,,,
38,0.150583,,,,
38.5,0.151208,,,,
39,0.152042,,,,
39.5,0.152708,,,,
40,0.152375,,,,
40.5,0.151958,,,,
41,0.151667,,,,
41.5,0.151458,,,,
42,0.152042,,,,
42.5,0.153,,,,
43,0.153792,,,,
43.5,0.153292,,,,
44,0.153125,,,,
44.5,0.153542,,,,
45,0.153708,,,,
45.5,0.154042,,,,
46,0.153208,,,,
46.5,0.153708,,,,
47,0.153542,,,,
47.5,0.1555,,,,
48,0.155333,,,,
48.5,0.154708,,,,
49,0.153708,,,,
49.5,0.154375,,,,
50,0.155167,,,,
50.5,0.155292,,,,
51,0.154958,,,,
51.5,0.154708,,,,
52,0.154708,,,,
52.5,0.154792,,,,
53,0.154667,,,,
53.5,0.155292,,,,
54,0.156292,,,,
54.5,0.156125,,,,
55,0.155875,,,,
55.5,0.155167,,,,
56,0.155083,,,,
56.5,0.155333,,,,
57,0.156458,,,,
57.5,0.157583,,,,
58,0.158042,,,,
58.5,0.160042,,,,
59,0.160375,,,,
59.5,0.159417,,,,
60,0.15525,,,,
