i400sN1_1#010,,,,,
,,,,,
Time (s),Potential (V),,,,
0,0.053,,0.052958,,
0.5,0.052042,,,,
1,0.052625,,mean-,,0.052958
1.5,0.053042,,max-,,0.054958
2,0.05325,,min-,,0.049583
2.5,0.052333,,size of bar-,,0.001
3,0.052,,,,
3.5,0.051667,,,,
4,0.052167,,,,
4.5,0.051292,,,,
5,0.051708,,,,
5.5,0.05075,,,,
6,0.052167,,,,
6.5,0.052875,,,,
7,0.0535,,,,
7.5,0.052208,,,,
8,0.051583,,,,
8.5,0.052,,,,
9,0.053208,,,,
9.5,0.0515,,,,
10,0.050625,,,,
10.5,0.049583,,,,
11,0.051708,,,,
11.5,0.052375,,,,
12,0.052833,,,,
12.5,0.052958,,,,
13,0.051875,,,,
13.5,0.052,,,,
14,0.050958,,,,
14.5,0.052417,,,,
15,0.052167,,,,
15.5,0.052083,,,,
16,0.05175,,,,
16.5,0.052958,,,,
17,0.05425,,,,
17.5,0.054833,,,,
18,0.053917,,,,
18.5,0.05375,,,,
19,0.052458,,,,
19.5,0.053208,,,,
20,0.052167,,,,
20.5,0.053042,,,,
21,0.052708,,,,
21.5,0.054083,,,,
22,0.05325,,,,
22.5,0.052375,,,,
23,0.051042,,,,
23.5,0.051875,,,,
24,0.052208,,,,
24.5,0.052083,,,,
25,0.052167,,,,
25.5,0.052542,,,,
26,0.052458,,,,
26.5,0.052458,,,,
27,0.052458,,,,
27.5,0.053,,,,
28,0.052375,,,,
28.5,0.053083,,,,
29,0.05325,,,,
29.5,0.054208,,,,
30,0.05325,,,,
30.5,0.052833,,,,
31,0.051125,,,,
31.5,0.052,,,,
32,0.052333,,,,
32.5,0.053958,,,,
33,0.052958,,,,
33.5,0.053125,,,,
34,0.052042,,,,
34.5,0.05325,,,,
35,0.053833,,,,
35.5,0.05475,,,,
36,0.053333,,,,
36.5,0.053042,,,,
37,0.052875,,,,
37.5,0.052958,,,,
38,0.052625,,,,
38.5,0.051792,,,,
39,0.052042,,,,
39.5,0.052333,,,,
40,0.053917,,,,
40.5,0.05375,,,,
41,0.054167,,,,
41.5,0.053,,,,
42,0.054375,,,,
42.5,0.054333,,,,
43,0.054917,,,,
43.5,0.054292,,,,
44,0.054125,,,,
44.5,0.053292,,,,
45,0.052958,,,,
45.5,0.05275,,,,
46,0.053333,,,,
46.5,0.054708,,,,
47,0.054167,,,,
47.5,0.054125,,,,
48,0.052625,,,,
48.5,0.053375,,,,
49,0.053167,,,,
49.5,0.053958,,,,
50,0.054,,,,
50.5,0.05375,,,,
51,0.052833,,,,
51.5,0.053458,,,,
52,0.054417,,,,
52.5,0.054958,,,,
53,0.0545,,,,
53.5,0.054167,,,,
54,0.054042,,,,
54.5,0.05425,,,,
55,0.053375,,,,
55.5,0.052792,,,,
56,0.052583,,,,
56.5,0.053458,,,,
57,0.054542,,,,
57.5,0.054125,,,,
58,0.053125,,,,
58.5,0.052708,,,,
59,0.052583,,,,
59.5,0.053875,,,,
60,0.05475,,,,
