i400sN1_1#027,,,,,
,,,,,
Time (s),Potential (V),,,,
0,0.114,,,,
0.5,0.111792,,,,
1,0.111292,,mean-,,0.115375
1.5,0.111917,,max-,,0.119417
2,0.112208,,min-,,0.111292
2.5,0.1125,,size of bar-,,0.0040625
3,0.112792,,,,
3.5,0.113125,,,,
4,0.1125,,,,
4.5,0.113583,,,,
5,0.113042,,,,
5.5,0.113708,,,,
6,0.113708,,,,
6.5,0.114625,,,,
7,0.114042,,,,
7.5,0.113667,,,,
8,0.113792,,,,
8.5,0.1145,,,,
9,0.114375,,,,
9.5,0.113792,,,,
10,0.113458,,,,
10.5,0.11225,,,,
11,0.112625,,,,
11.5,0.113625,,,,
12,0.114917,,,,
12.5,0.114333,,,,
13,0.113958,,,,
13.5,0.113125,,,,
14,0.1135,,,,
14.5,0.113542,,,,
15,0.114792,,,,
15.5,0.114167,,,,
16,0.115208,,,,
16.5,0.11475,,,,
17,0.115708,,,,
17.5,0.114042,,,,
18,0.113167,,,,
18.5,0.113083,,,,
19,0.114,,,,
19.5,0.115083,,,,
20,0.114833,,,,
20.5,0.115083,,,,
21,0.114792,,,,
21.5,0.114208,,,,
22,0.113167,,,,
22.5,0.113875,,,,
23,0.114458,,,,
23.5,0.114583,,,,
24,0.11375,,,,
24.5,0.114167,,,,
25,0.11375,,,,
25.5,0.11425,,,,
26,0.114833,,,,
26.5,0.115917,,,,
27,0.115792,,,,
27.5,0.115417,,,,
28,0.114833,,,,
28.5,0.114833,,,,
29,0.113917,,,,
29.5,0.114167,,,,
30,0.114083,,,,
30.5,0.115375,,,,
31,0.115958,,,,
31.5,0.117083,,,,
32,0.116958,,,,
32.5,0.117083,,,,
33,0.115792,,,,
33.5,0.116083,,,,
34,0.115792,,,,
34.5,0.115542,,,,
35,0.11475,,,,
35.5,0.115333,,,,
36,0.115542,,,,
36.5,0.1165,,,,
37,0.115292,,,,
37.5,0.11575,,,,
38,0.115667,,,,
38.5,0.115917,,,,
39,0.116042,,,,
39.5,0.115958,,,,
40,0.116917,,,,
40.5,0.117125,,,,
41,0.116542,,,,
41.5,0.115917,,,,
42,0.116542,,,,
42.5,0.116917,,,,
43,0.117542,,,,
43.5,0.116667,,,,
44,0.116958,,,,
44.5,0.117042,,,,
45,0.118833,,,,
45.5,0.119417,,,,
46,0.119042,,,,
46.5,0.117292,,,,
47,0.117083,,,,
47.5,0.116833,,,,
48,0.11675,,,,
48.5,0.11575,,,,
49,0.116333,,,,
49.5,0.117292,,,,
50,0.118333,,,,
50.5,0.117292,,,,
51,0.1175,,,,
51.5,0.116875,,,,
52,0.1175,,,,
52.5,0.116208,,,,
53,0.115958,,,,
53.5,0.117167,,,,
54,0.118083,,,,
54.5,0.119125,,,,
55,0.118958,,,,
55.5,0.118625,,,,
56,0.118625,,,,
56.5,0.118083,,,,
57,0.119042,,,,
57.5,0.118708,,,,
58,0.118583,,,,
58.5,0.117375,,,,
59,0.118208,,,,
59.5,0.1175,,,,
60,0.115625,,,,
