i400sN1_1#004,,,,,
,,,,,
Time (s),Potential (V),,,,
0,0.2715,,0.272625,,0.272625
0.5,0.272333,,,,
1,0.272167,,,,
1.5,0.273375,,,,
2,0.2725,,,,
2.5,0.272792,,,,
3,0.271208,,,,
3.5,0.271333,,,,
4,0.270583,,,,
4.5,0.270792,,,,
5,0.270417,,,,
5.5,0.270458,,,,
6,0.271042,,,,
6.5,0.271125,,,,
7,0.271542,,,,
7.5,0.271708,,,,
8,0.272792,,,,
8.5,0.272708,,,,
9,0.271917,,,,
9.5,0.271,,,,
10,0.271875,,,,
10.5,0.271792,,,,
11,0.271958,,,,
11.5,0.271542,,,,
12,0.272542,,,,
12.5,0.272625,,,,
13,0.273125,,,,
13.5,0.271292,,,,
14,0.271375,,,,
14.5,0.270542,,,,
15,0.2725,,,,
15.5,0.272792,,,,
16,0.273542,,,,
16.5,0.273375,,,,
17,0.272375,,,,
17.5,0.272125,,,,
18,0.271583,,,,
18.5,0.271458,,,,
19,0.2715,,,,
19.5,0.27125,,,,
20,0.272208,,,,
20.5,0.272417,,,,
21,0.273125,,,,
21.5,0.273708,,,,
22,0.272875,,,,
22.5,0.271125,,,,
23,0.270958,,,,
23.5,0.271917,,,,
24,0.274,,,,
24.5,0.273125,,,,
25,0.2725,,,,
25.5,0.272792,,,,
26,0.273,,,,
26.5,0.273083,,,,
27,0.272792,,,,
27.5,0.272417,,,,
28,0.273208,,,,
28.5,0.273042,,,,
29,0.272875,,,,
29.5,0.272042,,,,
30,0.27225,,,,
30.5,0.272625,,,,
31,0.272625,,,,
31.5,0.272583,,,,
32,0.273583,,,,
32.5,0.274208,,,,
33,0.273417,,,,
33.5,0.272042,,,,
34,0.271417,,,,
34.5,0.271792,,,,
35,0.272333,,,,
35.5,0.272875,,,,
36,0.273292,,,,
36.5,0.273583,,,,
37,0.27375,,,,
37.5,0.273417,,,,
38,0.273208,,,,
38.5,0.2725,,,,
39,0.272875,,,,
39.5,0.272708,,,,
40,0.273542,,,,
40.5,0.272458,,,,
41,0.273667,,,,
41.5,0.273125,,,,
42,0.274208,,,,
42.5,0.275208,,,,
43,0.274917,,,,
43.5,0.274875,,,,
44,0.273792,,,,
44.5,0.273708,,,,
45,0.273833,,,,
45.5,0.272583,,,,
46,0.272667,,,,
46.5,0.271417,,,,
47,0.271417,,,,
47.5,0.272042,,,,
48,0.273667,,,,
48.5,0.27375,,,,
49,0.272958,,,,
49.5,0.271167,,,,
50,0.27175,,,,
50.5,0.271167,,,,
51,0.271583,,,,
51.5,0.271167,,,,
52,0.27225,,,,
52.5,0.272708,,,,
53,0.275042,,,,
53.5,0.275042,,,,
54,0.275458,,,,
54.5,0.274458,,,,
55,0.273833,,,,
55.5,0.273375,,,,
56,0.271625,,,,
56.5,0.272833,,,,
57,0.272875,,,,
57.5,0.274542,,,,
58,0.274375,,,,
58.5,0.274917,,,,
59,0.273583,,,,
59.5,0.273167,,,,
60,0.273,,,,
