i400sN1_1#001,,,,,
,,,,,
Time (s),Potential (V),,,,
0,0.146125,,0.178,,0.178
0.5,0.1455,,,,
1,0.144958,,,,
1.5,0.144458,,,,
2,0.14525,,,,
2.5,0.145875,,,,
3,0.146958,,,,
3.5,0.147917,,,,
4,0.148708,,,,
4.5,0.149208,,,,
5,0.149292,,,,
5.5,0.151292,,,,
6,0.152083,,,,
6.5,0.153708,,,,
7,0.152958,,,,
7.5,0.154583,,,,
8,0.155,,,,
8.5,0.156958,,,,
9,0.157375,,,,
9.5,0.158375,,,,
10,0.158583,,,,
10.5,0.158625,,,,
11,0.158167,,,,
11.5,0.158458,,,,
12,0.156667,,,,
12.5,0.158208,,,,
13,0.158417,,,,
13.5,0.162042,,,,
14,0.162,,,,
14.5,0.162458,,,,
15,0.161875,,,,
15.5,0.161917,,,,
16,0.163333,,,,
16.5,0.163708,,,,
17,0.16425,,,,
17.5,0.16475,,,,
18,0.165667,,,,
18.5,0.166333,,,,
19,0.166,,,,
19.5,0.166458,,,,
20,0.166625,,,,
20.5,0.167042,,,,
21,0.167583,,,,
21.5,0.167917,,,,
22,0.169375,,,,
22.5,0.170833,,,,
23,0.172583,,,,
23.5,0.172,,,,
24,0.172042,,,,
24.5,0.1715,,,,
25,0.172083,,,,
25.5,0.173,,,,
26,0.174083,,,,
26.5,0.174292,,,,
27,0.174708,,,,
27.5,0.175542,,,,
28,0.176,,,,
28.5,0.175417,,,,
29,0.175375,,,,
29.5,0.177875,,,,
30,0.179125,,,,
30.5,0.179083,,,,
31,0.178,,,,
31.5,0.178667,,,,
32,0.180167,,,,
32.5,0.180958,,,,
33,0.179583,,,,
33.5,0.179167,,,,
34,0.178375,,,,
34.5,0.17975,,,,
35,0.180833,,,,
35.5,0.182208,,,,
36,0.182167,,,,
36.5,0.181458,,,,
37,0.181958,,,,
37.5,0.183792,,,,
38,0.184875,,,,
38.5,0.185458,,,,
39,0.185,,,,
39.5,0.185833,,,,
40,0.18575,,,,
40.5,0.186167,,,,
41,0.185,,,,
41.5,0.184875,,,,
42,0.184417,,,,
42.5,0.1855,,,,
43,0.186542,,,,
43.5,0.187042,,,,
44,0.18725,,,,
44.5,0.187583,,,,
45,0.188583,,,,
45.5,0.18825,,,,
46,0.1885,,,,
46.5,0.188458,,,,
47,0.189125,,,,
47.5,0.189625,,,,
48,0.189292,,,,
48.5,0.189792,,,,
49,0.189333,,,,
49.5,0.19075,,,,
50,0.191292,,,,
50.5,0.191292,,,,
51,0.191083,,,,
51.5,0.192125,,,,
52,0.192792,,,,
52.5,0.192083,,,,
53,0.192,,,,
53.5,0.191708,,,,
54,0.192792,,,,
54.5,0.193042,,,,
55,0.193875,,,,
55.5,0.194417,,,,
56,0.194667,,,,
56.5,0.195458,,,,
57,0.196417,,,,
57.5,0.19575,,,,
58,0.195,,,,
58.5,0.194125,,,,
59,0.194708,,,,
59.5,0.195792,,,,
60,0.19725,,,,
