i400sN1_1#021,,,,,
,,,,,
Time (s),Potential (V),,,,
0,-0.003625,,-0.001917,,-0.001917
0.5,-0.004208,,,,
1,-0.003625,,,,
1.5,-0.003958,,,,
2,-0.002958,,,,
2.5,-0.002958,,,,
3,-0.002542,,,,
3.5,-0.002875,,,,
4,-0.002708,,,,
4.5,-0.002667,,,,
5,-0.001958,,,,
5.5,-0.002208,,,,
6,-0.00175,,,,
6.5,-0.002292,,,,
7,-0.003167,,,,
7.5,-0.002708,,,,
8,-0.002292,,,,
8.5,-0.00175,,,,
9,-0.002458,,,,
9.5,-0.001708,,,,
10,-0.001458,,,,
10.5,-0.001708,,,,
11,-0.003125,,,,
11.5,-0.003083,,,,
12,-0.002167,,,,
12.5,-0.002167,,,,
13,-0.001583,,,,
13.5,-0.001375,,,,
14,-0.001458,,,,
14.5,-0.002708,,,,
15,-0.003417,,,,
15.5,-0.002792,,,,
16,-0.001708,,,,
16.5,-0.002,,,,
17,-0.002042,,,,
17.5,-0.003167,,,,
18,-0.002083,,,,
18.5,-0.0025,,,,
19,-0.002,,,,
19.5,-0.002208,,,,
20,-0.001167,,,,
20.5,0.00025,,,,
21,-0.000625,,,,
21.5,-0.000958,,,,
22,-0.002458,,,,
22.5,-0.0005,,,,
23,-0.000958,,,,
23.5,-0.000958,,,,
24,-0.002208,,,,
24.5,-0.002292,,,,
25,-0.002417,,,,
25.5,-0.001917,,,,
26,-0.002333,,,,
26.5,-0.002042,,,,
27,-0.001625,,,,
27.5,-0.000375,,,,
28,-0.000875,,,,
28.5,-0.002292,,,,
29,-0.003542,,,,
29.5,-0.003,,,,
30,-0.003083,,,,
30.5,-0.001917,,,,
31,-0.001583,,,,
31.5,-0.001708,,,,
32,-0.00125,,,,
32.5,-0.002042,,,,
33,-0.001417,,,,
33.5,-0.001875,,,,
34,-0.000625,,,,
34.5,-0.000708,,,,
35,-0.001208,,,,
35.5,-0.001125,,,,
36,-0.000625,,,,
36.5,-0.000875,,,,
37,-0.001167,,,,
37.5,-0.000917,,,,
38,-0.000917,,,,
38.5,-0.001875,,,,
39,-0.001958,,,,
39.5,-0.001083,,,,
40,0.000083,,,,
40.5,0.000167,,,,
41,-0.000458,,,,
41.5,0.000167,,,,
42,-0.000083,,,,
42.5,-0.000167,,,,
43,-0.001625,,,,
43.5,-0.001708,,,,
44,0.000083,,,,
44.5,0.00025,,,,
45,-0.000667,,,,
45.5,-0.002333,,,,
46,-0.00225,,,,
46.5,-0.001917,,,,
47,-0.001917,,,,
47.5,-0.002083,,,,
48,-0.001208,,,,
48.5,-0.000458,,,,
49,-0.000292,,,,
49.5,-0.001333,,,,
50,-0.00225,,,,
50.5,-0.00225,,,,
51,-0.002,,,,
51.5,-0.001875,,,,
52,-0.001167,,,,
52.5,-0.000167,,,,
53,0.00025,,,,
53.5,0.000333,,,,
54,-0.001167,,,,
54.5,-0.001958,,,,
55,-0.00275,,,,
55.5,-0.003125,,,,
56,-0.003958,,,,
56.5,-0.005167,,,,
57,-0.00375,,,,
57.5,-0.003542,,,,
58,-0.002542,,,,
58.5,-0.003083,,,,
59,-0.001125,,,,
59.5,-0.000083,,,,
60,0.000625,,,,
