i400sN1_1#032,,,
,,,
Time,(s),Potential (V),
0,-0.098,,-0.100542
0.5,-0.098875,,
1,-0.10025,,
1.5,-0.100542,,
2,-0.101167,,
2.5,-0.100292,,
3,-0.101417,,
3.5,-0.100792,,
4,-0.101667,,
4.5,-0.101125,,
5,-0.101292,,
5.5,-0.101708,,
6,-0.101125,,
6.5,-0.100792,,
7,-0.100292,,
7.5,-0.100958,,
8,-0.101833,,
8.5,-0.101333,,
9,-0.101333,,
9.5,-0.101042,,
10,-0.100583,,
10.5,-0.1005,,
11,-0.100875,,
11.5,-0.100917,,
12,-0.100208,,
12.5,-0.099125,,
13,-0.099208,,
13.5,-0.098917,,
14,-0.099708,,
14.5,-0.0995,,
15,-0.100083,,
15.5,-0.100875,,
16,-0.101375,,
16.5,-0.101708,,
17,-0.101083,,
17.5,-0.101083,,
18,-0.1005,,
18.5,-0.1005,,
19,-0.100292,,
19.5,-0.100167,,
20,-0.100208,,
20.5,-0.100417,,
21,-0.10025,,
21.5,-0.099875,,
22,-0.099708,,
22.5,-0.0995,,
23,-0.099792,,
23.5,-0.099333,,
24,-0.100167,,
24.5,-0.100333,,
25,-0.101583,,
25.5,-0.102,,
26,-0.101083,,
26.5,-0.100708,,
27,-0.100833,,
27.5,-0.101833,,
28,-0.102125,,
28.5,-0.10125,,
29,-0.1,,
29.5,-0.100083,,
30,-0.100083,,
30.5,-0.1015,,
31,-0.101375,,
31.5,-0.1025,,
32,-0.100333,,
32.5,-0.100333,,
33,-0.099458,,
33.5,-0.100917,,
34,-0.100042,,
34.5,-0.1005,,
35,-0.100583,,
35.5,-0.100958,,
36,-0.099958,,
36.5,-0.099958,,
37,-0.099292,,
37.5,-0.10025,,
38,-0.100167,,
38.5,-0.100958,,
39,-0.100375,,
39.5,-0.100542,,
40,-0.100708,,
40.5,-0.101375,,
41,-0.101458,,
41.5,-0.101333,,
42,-0.100875,,
42.5,-0.100875,,
43,-0.100208,,
43.5,-0.100792,,
44,-0.101,,
44.5,-0.101917,,
45,-0.101125,,
45.5,-0.101292,,
46,-0.101708,,
46.5,-0.10175,,
47,-0.100708,,
47.5,-0.100208,,
48,-0.099917,,
48.5,-0.099833,,
49,-0.09975,,
49.5,-0.1,,
50,-0.100583,,
50.5,-0.100417,,
51,-0.102375,,
51.5,-0.102542,,
52,-0.102125,,
52.5,-0.1,,
53,-0.100083,,
53.5,-0.10075,,
54,-0.100625,,
54.5,-0.1,,
55,-0.099417,,
55.5,-0.100208,,
56,-0.099833,,
56.5,-0.100583,,
57,-0.099625,,
57.5,-0.100042,,
58,-0.098833,,
58.5,-0.099542,,
59,-0.100125,,
59.5,-0.101125,,
60,-0.101125,,
