i400sN1_1#022,,,
,,,
Time,(s),Potential (V),
0,-0.025,,-0.020333
0.5,-0.026083,,
1,-0.027292,,
1.5,-0.02725,,
2,-0.027292,,
2.5,-0.026333,,
3,-0.026042,,
3.5,-0.02475,,
4,-0.0245,,
4.5,-0.024708,,
5,-0.025083,,
5.5,-0.024958,,
6,-0.024833,,
6.5,-0.0235,,
7,-0.02275,,
7.5,-0.022583,,
8,-0.02325,,
8.5,-0.023417,,
9,-0.02325,,
9.5,-0.023417,,
10,-0.02325,,
10.5,-0.022833,,
11,-0.022208,,
11.5,-0.022208,,
12,-0.021667,,
12.5,-0.021292,,
13,-0.021042,,
13.5,-0.021167,,
14,-0.021917,,
14.5,-0.020958,,
15,-0.021208,,
15.5,-0.020167,,
16,-0.021458,,
16.5,-0.021833,,
17,-0.023042,,
17.5,-0.022333,,
18,-0.021875,,
18.5,-0.021292,,
19,-0.020958,,
19.5,-0.020583,,
20,-0.020333,,
20.5,-0.020208,,
21,-0.019667,,
21.5,-0.018875,,
22,-0.019625,,
22.5,-0.020583,,
23,-0.021125,,
23.5,-0.02025,,
24,-0.019125,,
24.5,-0.018833,,
25,-0.019125,,
25.5,-0.019875,,
26,-0.019625,,
26.5,-0.020417,,
27,-0.019833,,
27.5,-0.019833,,
28,-0.019208,,
28.5,-0.019375,,
29,-0.02025,,
29.5,-0.020667,,
30,-0.021083,,
30.5,-0.0205,,
31,-0.021083,,
31.5,-0.021625,,
32,-0.022,,
32.5,-0.021125,,
33,-0.019833,,
33.5,-0.018708,,
34,-0.018292,,
34.5,-0.019083,,
35,-0.019167,,
35.5,-0.018875,,
36,-0.017833,,
36.5,-0.018417,,
37,-0.0195,,
37.5,-0.019708,,
38,-0.022042,,
38.5,-0.021625,,
39,-0.021833,,
39.5,-0.019833,,
40,-0.019875,,
40.5,-0.020833,,
41,-0.021,,
41.5,-0.020417,,
42,-0.019042,,
42.5,-0.018875,,
43,-0.019417,,
43.5,-0.019917,,
44,-0.020333,,
44.5,-0.019708,,
45,-0.020833,,
45.5,-0.020625,,
46,-0.020542,,
46.5,-0.01975,,
47,-0.019083,,
47.5,-0.01875,,
48,-0.018958,,
48.5,-0.019,,
49,-0.019042,,
49.5,-0.019042,,
50,-0.01975,,
50.5,-0.021167,,
51,-0.021042,,
51.5,-0.019917,,
52,-0.019333,,
52.5,-0.019083,,
53,-0.019542,,
53.5,-0.019292,,
54,-0.018833,,
54.5,-0.018667,,
55,-0.019333,,
55.5,-0.019333,,
56,-0.019833,,
56.5,-0.01925,,
57,-0.019208,,
57.5,-0.01925,,
58,-0.019292,,
58.5,-0.019,,
59,-0.01925,,
59.5,-0.01925,,
60,-0.0195,,
