i400sN1_1#020,,,
,,,
Time,(s),Potential (V),
0,0.118875,,0.115583
0.5,0.119125,,
1,0.119583,,
1.5,0.118625,,
2,0.117958,,
2.5,0.117625,,
3,0.1185,,
3.5,0.119833,,
4,0.120417,,
4.5,0.119292,,
5,0.119042,,
5.5,0.117833,,
6,0.118958,,
6.5,0.118875,,
7,0.119667,,
7.5,0.118375,,
8,0.117625,,
8.5,0.116833,,
9,0.116833,,
9.5,0.116542,,
10,0.116667,,
10.5,0.117708,,
11,0.118333,,
11.5,0.117958,,
12,0.117042,,
12.5,0.116583,,
13,0.116458,,
13.5,0.116208,,
14,0.116792,,
14.5,0.116708,,
15,0.117375,,
15.5,0.116708,,
16,0.117542,,
16.5,0.116875,,
17,0.11725,,
17.5,0.11625,,
18,0.116292,,
18.5,0.115917,,
19,0.115417,,
19.5,0.115208,,
20,0.114792,,
20.5,0.115542,,
21,0.11625,,
21.5,0.116417,,
22,0.116208,,
22.5,0.116333,,
23,0.116167,,
23.5,0.115833,,
24,0.114583,,
24.5,0.114542,,
25,0.114333,,
25.5,0.114375,,
26,0.115042,,
26.5,0.114958,,
27,0.115958,,
27.5,0.116125,,
28,0.116542,,
28.5,0.116333,,
29,0.115458,,
29.5,0.116,,
30,0.115292,,
30.5,0.115583,,
31,0.115042,,
31.5,0.11575,,
32,0.11575,,
32.5,0.115917,,
33,0.11625,,
33.5,0.1155,,
34,0.114833,,
34.5,0.113583,,
35,0.11425,,
35.5,0.1145,,
36,0.1145,,
36.5,0.114083,,
37,0.114958,,
37.5,0.115792,,
38,0.116042,,
38.5,0.114958,,
39,0.115125,,
39.5,0.114792,,
40,0.1155,,
40.5,0.115,,
41,0.114625,,
41.5,0.114167,,
42,0.1135,,
42.5,0.114333,,
43,0.115125,,
43.5,0.116375,,
44,0.116333,,
44.5,0.115125,,
45,0.114708,,
45.5,0.1145,,
46,0.1145,,
46.5,0.113792,,
47,0.114333,,
47.5,0.115,,
48,0.114792,,
48.5,0.114875,,
49,0.114458,,
49.5,0.115958,,
50,0.115583,,
50.5,0.115542,,
51,0.115042,,
51.5,0.114958,,
52,0.11425,,
52.5,0.113625,,
53,0.113708,,
53.5,0.11475,,
54,0.1145,,
54.5,0.114458,,
55,0.1125,,
55.5,0.113458,,
56,0.112917,,
56.5,0.114542,,
57,0.113333,,
57.5,0.115458,,
58,0.116458,,
58.5,0.116375,,
59,0.113667,,
59.5,0.112083,,
60,0.112,,
