i400sN1_1#036,,,
,,,
Time,(s),Potential (V),
0,-0.123375,,-0.121125
0.5,-0.123792,,
1,-0.123667,,
1.5,-0.124375,,
2,-0.12375,,
2.5,-0.123625,,
3,-0.122333,,
3.5,-0.122542,,
4,-0.123458,,
4.5,-0.124708,,
5,-0.125042,,
5.5,-0.124875,,
6,-0.124333,,
6.5,-0.124,,
7,-0.124083,,
7.5,-0.123333,,
8,-0.1235,,
8.5,-0.122917,,
9,-0.124042,,
9.5,-0.124042,,
10,-0.122958,,
10.5,-0.122,,
11,-0.1215,,
11.5,-0.12175,,
12,-0.122208,,
12.5,-0.122125,,
13,-0.123125,,
13.5,-0.122792,,
14,-0.122292,,
14.5,-0.121208,,
15,-0.120833,,
15.5,-0.121125,,
16,-0.120958,,
16.5,-0.12125,,
17,-0.120958,,
17.5,-0.122292,,
18,-0.122125,,
18.5,-0.122917,,
19,-0.123083,,
19.5,-0.123208,,
20,-0.123125,,
20.5,-0.122708,,
21,-0.123167,,
21.5,-0.123208,,
22,-0.123042,,
22.5,-0.122083,,
23,-0.121125,,
23.5,-0.120208,,
24,-0.120917,,
24.5,-0.120083,,
25,-0.121083,,
25.5,-0.120708,,
26,-0.121625,,
26.5,-0.121417,,
27,-0.120833,,
27.5,-0.120917,,
28,-0.120375,,
28.5,-0.120958,,
29,-0.121083,,
29.5,-0.121125,,
30,-0.120208,,
30.5,-0.1205,,
31,-0.120208,,
31.5,-0.121375,,
32,-0.121667,,
32.5,-0.121458,,
33,-0.121833,,
33.5,-0.121917,,
34,-0.122542,,
34.5,-0.121,,
35,-0.120333,,
35.5,-0.120833,,
36,-0.120917,,
36.5,-0.121042,,
37,-0.120833,,
37.5,-0.120875,,
38,-0.121125,,
38.5,-0.120208,,
39,-0.120167,,
39.5,-0.119292,,
40,-0.119833,,
40.5,-0.120708,,
41,-0.121292,,
41.5,-0.120292,,
42,-0.119958,,
42.5,-0.12025,,
43,-0.121375,,
43.5,-0.121417,,
44,-0.121458,,
44.5,-0.120833,,
45,-0.120542,,
45.5,-0.1205,,
46,-0.121167,,
46.5,-0.121958,,
47,-0.12075,,
47.5,-0.12,,
48,-0.119292,,
48.5,-0.119417,,
49,-0.119125,,
49.5,-0.119083,,
50,-0.12,,
50.5,-0.120167,,
51,-0.120417,,
51.5,-0.119375,,
52,-0.120208,,
52.5,-0.120292,,
53,-0.120208,,
53.5,-0.120375,,
54,-0.12075,,
54.5,-0.121667,,
55,-0.1205,,
55.5,-0.120458,,
56,-0.119167,,
56.5,-0.12,,
57,-0.118958,,
57.5,-0.119958,,
58,-0.119958,,
58.5,-0.120208,,
59,-0.120375,,
59.5,-0.119958,,
60,-0.11975,,
